시간,전압,전류,출력,전압(RS),전압(ST),전압(TR),전류(R),전류(S),전류(T),출력.1,주파수,역률,모듈(℃),외기(℃)
2020-01-01 07:00:00,1097.5,7.199999999999999,2.79,1169.58,1175.68,1171.21,16.1,14.700000000000001,16.3,10.61,179.8,0.0,-8.899999618999999,-3.4000000000000004
2020-01-01 07:30:00,2856.5,23.4,14.51,1962.15,1969.1,1961.23,28.1,26.4,28.5,18.82,299.6,399.6,-10.399999618999999,-4.2
2020-01-01 08:00:00,4071.0,79.9,54.76,2344.7,2350.62,2340.35,67.1,65.8,67.3,45.15,359.7,599.4000000000001,0.7999973300000001,-1.9
2020-01-01 08:30:00,4016.0,142.1,95.39,2343.89,2348.84,2338.02,123.3,121.8,123.3,83.1,360.0,599.4000000000001,25.699998857,3.8
2020-01-01 09:00:00,3931.5,195.7,128.52,2356.16,2360.08,2349.58,170.4,169.6,170.6,115.72,359.7,599.4000000000001,51.100000381,11.3
2020-01-01 09:30:00,3868.0,236.8,153.09,2357.25,2360.55,2350.63,205.9,205.5,206.7,140.14,359.9,599.4000000000001,86.79999542,22.9
2020-01-01 10:00:00,3869.5,270.6,174.82,2356.65,2361.0699999999997,2352.62,237.0,237.2,237.60000000000002,161.43,359.6,599.4000000000001,93.90000153,27.1
2020-01-01 10:30:00,3837.5,294.8,189.04,2361.11,2363.0,2354.96,256.9,257.3,258.5,175.45,360.0,599.4000000000001,105.00000381000001,32.3
2020-01-01 11:00:00,3819.0,310.5,198.08,2363.01,2363.9,2357.21,269.2,270.0,271.0,184.09,359.7,599.4000000000001,104.90000534,33.4
2020-01-01 11:30:00,3705.0,304.4,188.48,2370.0299999999997,2370.51,2364.67,253.8,254.4,256.0,174.15,359.8,599.4000000000001,112.39999771,35.3
2020-01-01 12:00:00,3683.0,293.0,180.27,2377.16,2378.37,2371.0299999999997,242.1,242.29999999999998,244.0,166.5,359.7,599.4000000000001,124.89999771,41.0
2020-01-01 12:30:00,3628.5,302.1,183.04,2371.39,2372.44,2365.45,246.6,247.3,248.7,169.35,360.0,599.4000000000001,105.90000152,38.2
2020-01-01 13:00:00,3554.0,288.0,171.14,2366.77,2370.67,2362.24,231.0,231.0,231.70000000000002,157.97,359.7,599.4000000000001,94.19999695,36.9
2020-01-01 13:30:00,3480.0,259.7,151.01999999999998,2362.91,2367.92,2358.99,203.0,203.1,203.6,138.64000000000001,359.6,599.4000000000001,90.39999768999999,36.5
2020-01-01 14:00:00,3385.0,229.2,129.72,2359.6,2363.49,2355.65,173.3,173.4,174.2,118.26,359.7,599.4000000000001,76.40000152,34.1
2020-01-01 14:30:00,3878.0,153.8,99.6,2357.51,2363.38,2354.2599999999998,131.4,131.1,131.7,89.46000000000001,359.6,599.4000000000001,70.4999981,35.0
2020-01-01 15:00:00,3473.5,124.0,72.43,2351.7200000000003,2357.63,2349.51,94.5,94.2,94.8,64.2,359.7,599.4000000000001,52.199998855000004,32.8
2020-01-01 15:30:00,3514.0,69.6,40.0,2345.58,2354.16,2344.3,53.6,52.2,52.9,35.85,359.5,599.4000000000001,40.999998092,33.8
2020-01-01 16:00:00,3918.5,36.0,23.78,2336.11,2345.02,2333.24,37.1,34.1,37.5,24.45,359.7,599.4000000000001,27.000001907,27.900000000000002
2020-01-01 16:30:00,3739.0,21.1,13.41,2325.2200000000003,2333.96,2321.22,31.4,29.3,33.6,21.11,359.6,599.4000000000001,15.200000764,20.7
2020-01-01 17:00:00,1921.0,8.6,4.43,1544.6,1551.76,1542.8,20.9,19.4,22.2,13.95,239.7,199.8,4.6999988550000005,10.5
2020-01-01 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 07:00:00,1148.5,7.3,2.86,1162.75,1169.1,1164.3,16.0,14.600000000000001,16.3,10.51,179.9,0.0,-1.700000762,2.4000000000000004
2020-01-02 07:30:00,3285.0,21.7,12.72,2324.39,2334.52,2326.78,32.2,29.6,32.3,21.07,359.5,299.70000000000005,-1.39999962,5.0
2020-01-02 08:00:00,4013.0,64.0,43.269999999999996,2322.2200000000003,2332.12,2321.44,54.099999999999994,52.1,53.2,35.67,359.6,599.4000000000001,7.599998474,6.9
2020-01-02 08:30:00,4052.5,117.30000000000001,79.81,2326.79,2334.25,2323.11,102.0,100.3,101.6,68.06,359.9,599.4000000000001,22.60000038,11.0
2020-01-02 09:00:00,3340.0,139.6,93.62,1943.93,1949.0700000000002,1940.22,123.9,122.7,123.6,83.13,299.7,499.5,34.100000381,13.0
2020-01-02 09:30:00,3947.0,217.7,143.57999999999998,2322.7,2326.52,2317.44,194.8,194.1,195.4,130.55,359.7,599.4000000000001,59.299999235,20.9
2020-01-02 10:00:00,3901.5,252.8,164.87,2328.23,2330.43,2323.06,225.2,225.3,226.4,151.57999999999998,359.7,599.4000000000001,82.70000267,28.3
2020-01-02 10:30:00,3849.0,279.9,180.04,2335.73,2339.12,2331.29,246.8,247.3,247.7,166.7,359.7,599.4000000000001,93.29999541,33.7
2020-01-02 11:00:00,3830.5,293.2,187.6,2331.92,2335.2,2327.67,258.5,258.8,259.5,174.28,359.6,599.4000000000001,105.5,38.4
2020-01-02 11:30:00,3684.0,289.5,178.13,2322.93,2324.93,2318.44,245.1,245.7,246.3,164.68,360.0,599.4000000000001,123.0,43.7
2020-01-02 12:00:00,3658.0,281.2,171.67000000000002,2338.58,2343.9,2337.52,234.1,234.8,234.2,158.3,359.6,599.4000000000001,131.99999999,48.9
2020-01-02 12:30:00,3567.0,281.0,167.48000000000002,2322.92,2327.54,2319.56,230.4,230.5,230.7,154.61,359.5,599.4000000000001,134.89999771,54.6
2020-01-02 13:00:00,3530.5,268.7,158.39,2308.88,2313.9700000000003,2305.99,219.2,219.3,219.1,146.12,359.8,599.4000000000001,136.90000152,58.3
2020-01-02 13:30:00,2903.0,196.8,114.55,1948.8600000000001,1951.52,1944.7,155.70000000000002,155.6,156.2,105.14,299.9,499.5,98.49999999,43.8
2020-01-02 14:00:00,3370.0,208.9,117.49,2337.8,2342.5,2334.44,158.9,158.4,159.0,107.17,359.9,599.4000000000001,104.99999617,53.1
2020-01-02 14:30:00,3819.0,145.0,92.57000000000001,2324.39,2328.37,2320.88,124.2,123.7,124.5,83.3,359.7,599.4000000000001,97.59999847,51.8
2020-01-02 15:00:00,3773.5,100.10000000000001,63.33,2312.04,2316.93,2309.25,84.2,83.6,84.4,56.150000000000006,359.6,599.4000000000001,79.0,49.0
2020-01-02 15:30:00,3823.0,62.6,40.2,2301.25,2307.04,2300.01,54.199999999999996,53.3,54.4,35.86,359.4,599.4000000000001,60.600000383,51.199999999999996
2020-01-02 16:00:00,3847.0,39.6,25.799999999999997,2313.99,2320.85,2313.14,39.2,37.6,39.0,25.8,359.7,599.4000000000001,44.399999618,45.2
2020-01-02 16:30:00,3726.0,22.9,14.58,2298.58,2306.33,2297.18,33.0,30.700000000000003,33.7,21.55,359.7,599.4000000000001,30.599998474,36.5
2020-01-02 17:00:00,1769.0,9.4,4.38,1532.15,1538.01,1530.92,21.5,20.299999999999997,22.8,14.3,239.8,199.8,14.399999618999999,20.0
2020-01-02 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 07:00:00,402.5,2.2,0.92,390.86,392.96,391.28,5.4,4.9,5.5,3.57,60.0,0.0,1.5,3.4
2020-01-03 07:30:00,2198.0,13.9,8.2,1552.35,1558.85,1554.4,21.4,19.8,21.6,14.1,239.6,299.70000000000005,4.6999988550000005,13.3
2020-01-03 08:00:00,3972.0,60.300000000000004,40.45,2330.74,2337.35,2329.08,51.6,50.3,51.7,34.47,359.7,599.4000000000001,19.500000001,21.9
2020-01-03 08:30:00,4003.0,118.6,79.5,2334.71,2338.48,2330.85,101.6,101.2,102.1,68.49,359.6,599.4000000000001,39.199998856,25.3
2020-01-03 09:00:00,3943.5,169.3,111.31,2322.86,2328.47,2321.83,148.7,148.5,148.5,99.71000000000001,359.5,599.4000000000001,57.600000378,30.8
2020-01-03 09:30:00,3897.0,178.3,116.32,2325.26,2331.59,2324.67,155.9,155.9,155.6,104.66,359.5,599.4000000000001,73.4999981,36.7
2020-01-03 10:00:00,3879.0,198.9,128.47,2330.04,2333.37,2327.5,173.6,173.8,174.29999999999998,117.03999999999999,359.4,599.4000000000001,88.6000023,42.7
2020-01-03 10:30:00,3863.0,239.3,154.28,2341.44,2344.3199999999997,2338.2,209.79999999999998,210.5,210.8,142.25,359.5,599.4000000000001,93.89999771000001,46.5
2020-01-03 11:00:00,3833.0,289.7,185.26000000000002,2341.87,2344.65,2340.2,254.2,255.5,255.1,172.36,359.8,599.4000000000001,117.90000153,52.6
2020-01-03 11:30:00,3663.0,297.0,181.74,2341.7,2346.48,2341.71,248.1,249.60000000000002,248.39999999999998,168.21,359.9,599.4000000000001,160.40000152,67.1
2020-01-03 12:00:00,3550.0,296.1,175.45,2341.93,2347.29,2342.83,239.1,240.7,239.4,162.22,360.0,599.4000000000001,159.30000306,70.0
2020-01-03 12:30:00,3599.0,293.0,176.13,2321.25,2325.6,2321.25,242.7,244.1,243.3,163.17000000000002,359.7,599.4000000000001,148.70000076,70.4
