,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,7.4144
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,10.20035
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,10.355449999999864
63,11.959599999999998
64,12.13175
65,12.2982
66,12.4589
67,12.615999999999998
68,12.7794
69,12.93845
70,13.097650000000002
71,13.26385
72,13.419
73,13.570049999999998
74,13.733500000000001
75,13.88425
76,14.039200000000003
77,14.1889
78,14.330300000000001
79,14.4789
80,14.630950000000002
81,14.773499999999999
82,14.91135
83,15.05105
84,15.1938
85,15.318499999999998
86,15.45635
87,12.0719
88,12.1487
89,12.29975
90,12.41985
91,12.528499999999998
92,12.63695
93,12.713249999999999
94,12.6267
95,12.17855
96,11.665799999999997
97,10.7743
98,9.973149999999999
99,8.74025
100,8.07415
101,6.827250000000001
102,6.04585
103,4.8561
104,4.0664
105,2.969100000000001
106,2.1793999999999993
107,1.027199999999997
108,0.3981999999999992
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,4.175342706229973
205,10.40235
206,10.3984
207,10.380199999999999
208,10.38205
209,10.328800000000001
210,13.80165
211,13.7928
212,13.78525
213,13.7686
214,13.7698
215,13.7496
216,13.7456
217,13.754150000000001
218,13.75865
219,13.76085
220,13.75675
221,13.775599999999999
222,13.779800000000002
223,13.8025
224,13.815249999999999
225,13.8245
226,13.844399999999998
227,13.86085
228,13.886750000000001
229,13.914100000000001
230,13.927299999999999
231,13.959449999999999
232,13.9794
233,14.004150000000001
234,14.034500000000003
235,14.05695
236,14.087050000000001
237,14.111450000000001
238,14.15555
239,14.172950000000002
240,14.196100000000001
241,14.22715
242,14.250850000000002
243,14.27455
244,14.30175
245,14.323749999999999
246,14.33635
247,14.35325
248,14.369499999999999
249,14.370849999999999
250,14.38375
251,14.404149999999998
252,14.407300000000001
253,14.395050000000003
254,14.392499999999998
255,14.379499999999998
256,14.377050000000002
257,14.344450000000002
258,14.3096
259,14.270499999999998
260,14.225449999999999
261,14.18595
262,14.124350000000003
263,14.055999999999997
264,13.986499999999998
265,13.9015
266,13.82345
267,13.716550000000002
268,13.59845
269,13.481399999999999
270,13.337349999999999
271,13.183249999999997
272,13.033349999999999
273,12.85215
274,12.65355
275,12.45255
276,12.2279
277,11.987799999999998
278,11.7453
279,11.47815
280,11.170100000000001
281,10.870249999999999
282,10.5338
283,10.1837
284,9.8106
285,9.41415
286,9.0005
287,8.55345
