,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,3.51
88,3.56
89,3.54
90,3.54
91,3.55
92,3.56
93,3.59
94,3.79
95,4.34
96,4.96
97,5.95
98,6.85
99,8.18
100,8.93
101,10.28
102,11.13
103,12.4
104,13.28
105,14.45
106,15.31
107,16.53
108,17.22
109,18.19
110,18.85
111,19.83
112,20.45
113,21.18
114,21.64
115,22.61
116,23.06
117,23.82
118,24.09
119,24.92
120,25.52
121,26.21
122,26.58
123,27.27
124,27.71
125,28.14
126,28.55
127,28.86
128,29.0
129,29.44
130,29.66
131,29.94
132,30.25
133,30.33
134,30.89
135,31.15
136,31.09
137,30.38
138,29.92
139,29.73
140,29.59
141,28.18
142,28.87
143,27.86
144,27.04
145,26.99
146,27.42
147,28.04
148,28.47
149,28.54
150,28.6
151,28.48
152,28.4
153,28.14
154,27.92
155,27.81
156,27.44
157,27.02
158,26.67
159,26.22
160,25.63
161,24.99
162,24.93
163,23.8
164,23.42
165,23.05
166,21.92
167,21.52
168,21.07
169,20.66
170,20.16
171,19.61
172,19.09
173,17.67
174,16.92
175,16.02
176,15.53
177,14.22
178,13.72
179,13.05
180,12.33
181,12.04
182,11.42
183,10.28
184,9.61
185,8.52
186,7.85
187,6.58
188,5.91
189,5.49
190,5.19
191,4.83
192,4.58
193,4.28
194,4.14
195,3.96
196,3.82
197,3.67
198,3.61
199,3.54
200,3.52
201,3.49
202,3.49
203,3.46
204,3.51
205,3.51
206,3.49
207,3.47
208,3.45
209,3.48
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
