일시,출력_AC
2023-06-23 5:10,3.5
2023-06-23 5:20,3.49
2023-06-23 5:25,3.49
2023-06-23 5:30,3.5
2023-06-23 5:35,3.47
2023-06-23 5:40,3.49
2023-06-23 5:45,3.65
2023-06-23 5:50,3.63
2023-06-23 5:55,3.63
2023-06-23 6:00,3.81
2023-06-23 6:05,5.03
2023-06-23 6:10,6.57
2023-06-23 6:15,7.76
2023-06-23 6:20,8.33
2023-06-23 6:25,9.47
2023-06-23 6:30,10.08
2023-06-23 6:35,11.1
2023-06-23 6:40,11.76
2023-06-23 6:45,12.88
2023-06-23 6:50,13.59
2023-06-23 6:55,14.76
2023-06-23 7:00,15.37
2023-06-23 7:05,16.23
2023-06-23 7:10,16.99
2023-06-23 7:15,18.2
2023-06-23 7:20,19.31
2023-06-23 7:25,5.3
2023-06-23 7:30,15.74
2023-06-23 7:35,25.83
2023-06-23 7:40,27.38
2023-06-23 7:45,28.21
2023-06-23 7:50,27.8
2023-06-23 7:55,28.82
2023-06-23 8:00,28.66
2023-06-23 8:05,27.93
2023-06-23 8:10,21.41
2023-06-23 8:15,23.62
2023-06-23 8:20,21.41
2023-06-23 8:25,26.4
2023-06-23 8:30,20.78
2023-06-23 8:35,32.17
2023-06-23 8:40,31.77
2023-06-23 8:45,32.27
2023-06-23 8:50,31.66
2023-06-23 8:55,33.04
2023-06-23 9:00,33.98
2023-06-23 9:05,36.02
2023-06-23 9:10,35.24
2023-06-23 9:15,23.84
2023-06-23 9:20,19.75
2023-06-23 9:25,22.22
2023-06-23 9:30,21.91
2023-06-23 9:35,42.2
2023-06-23 9:40,16.59
2023-06-23 9:45,19.18
2023-06-23 9:50,34.55
2023-06-23 9:55,40.72
2023-06-23 10:00,25.91
2023-06-23 10:05,21.14
2023-06-23 10:10,21.72
2023-06-23 10:15,19.96
2023-06-23 10:20,26.68
2023-06-23 10:25,24.44
2023-06-23 10:30,37.0
2023-06-23 10:35,24.98
2023-06-23 10:40,45.72
2023-06-23 10:45,49.34
2023-06-23 10:50,36.75
2023-06-23 10:55,29.51
2023-06-23 11:00,26.48
2023-06-23 11:05,34.91
2023-06-23 11:10,28.54
2023-06-23 11:15,32.92
2023-06-23 11:20,39.05
2023-06-23 11:30,26.15
2023-06-23 11:35,45.01
2023-06-23 11:40,44.92
2023-06-23 11:45,24.78
2023-06-23 11:50,23.19
2023-06-23 11:55,22.36
2023-06-23 12:00,43.8
2023-06-23 12:05,25.03
2023-06-23 12:10,48.72
2023-06-23 12:15,29.85
2023-06-23 12:20,24.57
2023-06-23 12:25,49.53
2023-06-23 12:30,24.74
2023-06-23 12:35,25.62
2023-06-23 12:40,25.56
2023-06-23 12:45,33.02
2023-06-23 12:50,47.16
2023-06-23 12:55,43.12
2023-06-23 13:00,44.54
2023-06-23 13:10,45.85
2023-06-23 13:15,45.8
2023-06-23 13:20,30.88
2023-06-23 13:25,44.64
2023-06-23 13:30,40.38
2023-06-23 13:35,37.5
2023-06-23 13:40,36.9
2023-06-23 13:45,37.03
2023-06-23 13:50,36.83
2023-06-23 13:55,36.51
2023-06-23 14:00,35.82
2023-06-23 14:05,35.28
2023-06-23 14:10,34.65
2023-06-23 14:15,33.15
2023-06-23 14:20,33.72
2023-06-23 14:25,30.06
2023-06-23 14:30,31.3
2023-06-23 14:35,18.21
2023-06-23 14:40,29.21
2023-06-23 14:45,33.24
2023-06-23 14:50,15.87
2023-06-23 14:55,27.84
2023-06-23 15:00,26.83
2023-06-23 15:05,27.22
2023-06-23 15:10,23.17
2023-06-23 15:15,21.71
2023-06-23 15:20,20.28
2023-06-23 15:25,19.57
2023-06-23 15:30,19.21
2023-06-23 15:35,18.92
2023-06-23 15:40,15.73
2023-06-23 15:45,14.26
2023-06-23 15:50,18.23
2023-06-23 15:55,12.87
2023-06-23 16:00,12.24
2023-06-23 16:05,11.69
2023-06-23 16:10,12.59
2023-06-23 16:15,10.38
2023-06-23 16:20,9.86
2023-06-23 16:25,8.89
2023-06-23 16:30,8.92
2023-06-23 16:35,8.51
2023-06-23 16:40,7.73
2023-06-23 16:45,7.36
2023-06-23 16:50,7.09
2023-06-23 16:55,6.84
2023-06-23 17:00,6.49
2023-06-23 17:05,6.14
2023-06-23 17:10,5.93
2023-06-23 17:15,5.69
2023-06-23 17:20,5.51
2023-06-23 17:25,5.26
2023-06-23 17:30,5.07
2023-06-23 17:35,5.0
2023-06-23 17:40,4.97
2023-06-23 17:45,4.42
2023-06-23 17:50,4.51
2023-06-23 17:55,4.5
2023-06-23 18:00,4.3
2023-06-23 18:05,4.13
2023-06-23 18:10,3.96
2023-06-23 18:15,3.8
2023-06-23 18:20,3.78
2023-06-23 18:25,3.78
2023-06-23 18:30,3.69
2023-06-23 18:35,3.62
2023-06-23 18:40,3.57
2023-06-23 18:45,3.59
2023-06-23 18:50,3.53
2023-06-23 18:55,3.55
2023-06-23 19:00,3.53
2023-06-23 19:05,3.48
2023-06-23 19:10,3.49
2023-06-23 19:15,3.5
2023-06-23 19:20,3.53
2023-06-23 19:25,3.53
2023-06-23 19:30,3.46
2023-06-23 19:40,3.5
2023-06-23 19:45,3.53
2023-06-23 19:55,3.55
