datetime,load
2020-01-01,786.5
2020-01-02,1835.0
2020-01-03,1638.5
2020-01-04,720.8
2020-01-05,917.5
2020-01-06,2228.3
2020-01-07,2490.5
2020-01-08,2293.8
2020-01-09,2031.5
2020-01-10,1704.0
2020-01-11,852.0
2020-01-12,786.3
2020-01-13,2031.8
2020-01-14,2031.5
2020-01-15,2097.3
2020-01-16,2293.8
2020-01-17,2293.8
2020-01-18,852.0
2020-01-19,786.5
2020-01-20,1835.0
2020-01-21,1769.5
2020-01-22,1966.0
2020-01-23,1310.8
2020-01-24,852.0
2020-01-25,655.3
2020-01-26,721.0
2020-01-27,917.5
2020-01-28,1966.0
2020-01-29,1966.0
2020-01-30,2228.3
2020-01-31,1376.3
2020-02-01,786.5
2020-02-02,917.5
2020-02-03,2097.3
2020-02-04,1966.0
2020-02-05,1638.5
2020-02-06,2228.0
2020-02-07,1835.0
2020-02-08,786.5
2020-02-09,1310.8
2020-02-10,1900.5
2020-02-11,1835.0
2020-02-12,2097.3
2020-02-13,1310.8
2020-02-14,1245.3
2020-02-15,851.8
2020-02-16,1179.8
2020-02-17,2162.8
2020-02-18,2031.5
2020-02-19,1966.3
2020-02-20,1703.8
2020-02-21,1704.0
2020-02-22,721.0
2020-02-23,655.3
2020-02-24,1310.8
2020-02-25,2293.8
2020-02-26,2424.8
2020-02-27,1835.0
2020-02-28,2031.8
2020-02-29,786.5
2020-03-01,786.3
2020-03-02,1769.5
2020-03-03,1769.5
2020-03-04,1966.0
2020-03-05,1835.0
2020-03-06,1376.3
2020-03-07,786.5
2020-03-08,655.5
2020-03-09,1441.8
2020-03-10,2031.5
2020-03-11,1376.3
2020-03-12,1114.3
2020-03-13,1572.8
2020-03-14,721.0
2020-03-15,852.0
2020-03-16,1900.5
2020-03-17,1769.5
2020-03-18,1245.0
2020-03-19,1114.3
2020-03-20,917.5
2020-03-21,589.8
2020-03-22,589.8
2020-03-23,983.3
2020-03-24,983.0
2020-03-25,1048.5
2020-03-26,852.0
2020-03-27,1572.8
2020-03-28,917.5
2020-03-29,1245.3
2020-03-30,983.0
2020-03-31,852.0
2020-04-01,327.6
2020-04-02,327.8
2020-04-03,262.1
2020-04-04,196.6
2020-04-05,262.1
2020-04-06,327.6
2020-04-07,327.8
2020-04-08,262.1
2020-04-09,262.1
2020-04-10,262.1
2020-04-11,196.6
2020-04-12,262.1
2020-04-13,262.1
2020-04-14,327.8
2020-04-15,196.6
2020-04-16,262.1
2020-04-17,262.1
2020-04-18,262.1
2020-04-19,196.6
2020-04-20,327.6
2020-04-21,262.3
2020-04-22,262.1
2020-04-23,327.6
2020-04-24,262.1
2020-04-25,196.6
2020-04-26,196.6
2020-04-27,327.6
2020-04-28,65.6
2020-04-29,
2020-04-30,
2020-05-01,1769.5
2020-05-02,458.8
2020-05-03,458.8
2020-05-04,590.0
2020-05-05,524.3
2020-05-06,524.3
2020-05-07,458.8
2020-05-08,524.3
2020-05-09,655.5
2020-05-10,458.8
2020-05-11,458.8
2020-05-12,524.3
2020-05-13,524.3
2020-05-14,524.3
2020-05-15,852.0
2020-05-16,65.5
2020-05-17,
2020-05-18,1769.5
2020-05-19,852.0
2020-05-20,786.5
2020-05-21,458.8
2020-05-22,589.8
2020-05-23,458.8
2020-05-24,524.3
2020-05-25,589.8
2020-05-26,590.0
2020-05-27,524.3
2020-05-28,524.3
2020-05-29,524.3
2020-05-30,458.8
2020-05-31,458.8
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,1048.5
2020-07-02,786.5
2020-07-03,917.5
2020-07-04,589.8
2020-07-05,655.3
2020-07-06,917.5
2020-07-07,983.3
2020-07-08,1048.5
2020-07-09,1310.8
2020-07-10,1310.8
2020-07-11,786.3
2020-07-12,721.0
2020-07-13,1245.3
2020-07-14,1114.0
2020-07-15,983.0
2020-07-16,655.5
2020-07-17,720.8
2020-07-18,524.3
2020-07-19,721.0
