,e_5
0,11.555666469999998
1,11.32989937
2,11.143641685
3,10.974455935
4,10.800003965
5,10.63825748
6,10.500951279999999
7,10.38439631
8,10.260115555
9,10.165904235000001
10,10.075951525
11,9.994388425
12,9.95058661
13,9.88688394
14,9.826295535
15,9.812920855
16,9.78811772
17,9.79158211
18,9.782409005
19,9.800730210000001
20,9.828769225
21,9.864802735
22,9.89262007
23,9.951440595
24,10.012014540000001
25,10.081225725
26,10.178233005
27,10.255827075
28,10.339343215000001
29,10.459096084999999
30,10.579345315
31,10.690123725
32,10.79730861
33,10.937836725
34,11.090315799999999
35,11.221785695
36,11.382460935000001
37,11.5430282
38,11.69431788
39,11.869973
40,12.021009045
41,12.216763884999999
42,12.406594165
43,12.587888629999998
44,12.801963915000002
45,12.976274725000001
46,13.18419928
47,13.39256905
48,13.609688375
49,13.79903814
50,14.031562104999999
51,14.239071625
52,14.45016236
53,14.68136153
54,14.90194515
55,15.120316405
56,15.35103128
57,15.574770805
58,15.806637859999999
59,16.0397672
60,16.27635243
61,16.485828065
62,16.741219620000003
63,16.941798640000002
64,17.18562941
65,17.42137047
66,17.64893039
67,17.871448845
68,18.102847635
69,18.328091045
70,18.55354646
71,18.788963985
72,19.0086455
73,19.222549909999998
74,19.454084469999998
75,19.66754307
76,19.886950785
77,20.09900203
78,20.299233124999997
79,20.50961938
80,20.72495217
81,20.926812254999998
82,21.122068289999998
83,21.31990387
84,21.522058995000002
85,21.698577604999997
86,21.89381177
87,22.071596245000002
88,22.251135230000003
89,22.436733555
90,22.606776855
91,22.774807085000003
92,22.94252151
93,23.09304214
94,23.25369973
95,23.397915785
96,23.54977375
97,23.689207950000004
98,23.829192065
99,23.966644224999996
100,24.08543537
101,24.23143769
102,24.328504485
103,24.44213386
104,24.570006004999996
105,24.672911835
106,24.77245618
107,24.868413025
108,24.954746335000003
109,25.034386975
110,25.122805234999998
111,25.193595255
112,25.277176904999997
113,25.335401025
114,25.391970845
115,25.45233353
116,25.509485165
117,25.54914321
118,25.589215235
119,25.634187490000002
120,25.666490555000003
121,25.68844703
122,25.711438675
123,25.734613385
124,25.735545594999998
125,25.74450359
126,25.753636775
127,25.75686509
128,25.755740335000002
129,25.75489143
130,25.736539845
131,25.710929425
132,25.689604730000003
133,25.655822685
134,25.63242829
135,25.595771069999998
136,25.561659275
137,25.510711354999998
138,25.47437056
139,25.431884775
140,25.366245919999997
141,25.312948695
142,25.254605015
143,25.182786694999997
144,25.12039931
145,25.048740185
146,24.976261905
147,24.893848769999998
148,24.820935354999996
149,24.74296098
150,24.665958185
151,24.575867595
152,24.49586392
153,24.383348685
154,24.302328754999998
155,24.20219125
156,24.12006041
157,23.99935198
158,23.898897655
159,23.798976515
160,23.684717085
161,23.592242725000002
162,23.485196285
163,23.385613284999998
164,23.279917554999997
165,23.183419980000004
166,23.06824162
167,22.948201415
168,22.836741370000002
169,22.737719154999997
170,22.61507263
171,22.529075135
172,22.41528569
173,22.2945073
174,22.17718842
175,22.09222577
176,21.97459468
177,21.878597265000003
178,21.752765095
179,21.656226775
180,21.55804121
181,21.45705813
182,21.353572965
183,21.26323207
184,21.154235285
185,21.066309925
186,20.975421490000002
187,20.88752446
188,20.800303900000003
189,20.700335719999998
190,20.613201564999997
191,20.552212115000003
192,20.466064515000003
193,20.38151973
194,20.32455556
195,20.242848109999997
196,20.182387204999998
197,20.108818495
198,20.061098715
199,19.99949465
200,19.928481825
201,19.884376035
202,19.83208449
203,19.79077081
204,19.730231359999998
205,19.70235621
206,19.66841025
207,19.614340485
208,19.58863744
209,19.555780845
210,19.54565282
211,19.533144035
212,19.522519265
213,19.498949025
214,19.5006728
215,19.472081725
216,19.46651844
217,19.478672155
218,19.485069669999998
219,19.488235709999998
220,19.48248606
221,19.509208115
222,19.51523309
223,19.54746922
224,19.56554396
225,19.578717345
226,19.607007395
227,19.630359665
228,19.66713194
229,19.705963269999998
230,19.724733925
231,19.77031577
232,19.798658579999998
233,19.833828165
234,19.876907975
235,19.908795385
236,19.95151782
237,19.986146035
238,20.048740135
239,20.073481394999998
240,20.106374855000002
241,20.150458594999996
242,20.1841372
243,20.217811395
244,20.25647993
245,20.28773392
246,20.30574875
247,20.329825170000003
248,20.352951785000002
249,20.355013775000003
250,20.373435795
251,20.402472760000002
252,20.407043955000002
253,20.389842025
254,20.38638828
255,20.368097525
256,20.364801605
257,20.3187942
258,20.269555675
259,20.21434311
260,20.150754470000003
261,20.094981575
262,20.007853785
263,19.91126571
264,19.812981784999998
265,19.692761165
266,19.582386295
267,19.43119157
268,19.264111435
269,19.09848507
270,18.89470328
271,18.676637335
272,18.46448894
273,18.208098155000002
274,17.927014595
275,17.64252025
276,17.32453971
277,16.98469936
278,16.64143461
279,16.263224075
280,15.827185925
281,15.402666135
282,14.92638025
283,14.430737689999999
284,13.902474045
285,13.341175194999998
286,12.755591719999998
287,12.1225837
